expletives,corrected
a**,ass
f**ck,fuck
sh*t,shit
p*ssy,pussy
b**ner,boner
f*ck,fuck
dumba**,dumbass
sh*tty,shitty
b*tch,bitch
n*gger,nigger
f*cks,fucks
motherf***er,motherfucker
f*cking,fucking
f**king,fucking
n****r,nigger
f***,fuck
n*****s,niggers
bullsh*t,bullshit
apesh**t,apeshit
f*****g,fucking
f*cked,fucked
c*ck,cock
a**es,asses
sh*tting,shitting
a**s,ass
p*ss,piss
p*ssed,pissed
p*ssing,pissing
a**hole,asshole
f****ts,faggots
apesh*t,apeshit
sh*ts,shits
f***ed,fucked
sh**tting,shitting
n****rs,niggers
n*****,niggers
n***er,nigger
s*it,shit
chickensh*t,chickenshit
s***s,sluts
pu**y,pussy
batsh*t,batshit
p***y,pussy
d*ck,dick
f**ks,fucks
s**t,shit
f**k,fuck
batsh**,batshit
b*tching,bitching
dumb*ss,dumbass
b*tchslapped,bitchslapped
pu**ygate,pussygate
f***ing,fucking
sh*tless,shitless
a*s,ass
h*ll,hell
bulls*it,bullshit
f*ggots,faggots
clusterf*ck,clusterfuck
f*ggot,faggots
sh*tcanned,shitcanned
n******,niggers
sh*tstain,shitstain
dipsh*t,dipshit
n***a,nigga
c**kblocking,cockblocking
p*rn,porn
c*ckblocking,cockblocking
n***gers,niggers
sh*tshow,shitshow
a**holes,assholes
whoopa**,whoopass
t*t,tit
f*ckin,fuckin
b**tard,bastard
bi*ch,bitch
d**ks,dicks
bad*ss,badass
n*ggas,niggas
p*nis,penis
n***ers,niggers
motherf***king,motherfucking
motherf*cker,motherfucker
p*ssyhat,pussyhat
f*cker,fucker
b**ch,bitch
scr*wed,screwed
p*ssed,pissed
p*ssyhats,pussyhats
*******,fucking
sh*tand,shitland
d*king,dicking
c*cksucker,cocksucker
g**damned,godammed
b*stard,bastard
bast*rds,bastards
d*mn,damn
f*king,fucking